Site,Amblyopone,Aphaenogaster,Brachymyrmex,Camponotus,Crematogaster,Dolichoderus,Formica,Lasius,Leptothorax,Myrmecina,Myrmica,Paratrechina,Prenolepis,Ponera,Stenamma,Tapinoma
CT,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1
MA_Main,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0
MA_Is,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
VT,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1
